id,name,brand,  price   ,size,abv,type,category,style,country,state,taste,product_info,image_url
14,Glenfiddich 12 Year,Glenfiddich, $47.99 ,750ml,40.0%,Whiskey/Whisky,Scotch,Single Malt, Scotland ,Speyside,"Rich, Pear, Oak, Butterscotch, Long","Speyside, Scotland- Glenfiddich 12 year old Scotch whisky is bright and balanced single malt matured for 12 years in Oloroso sherry and bourbon casks before mellowing in oak marrying tuns. Awarded Gold at ISC and Silver at IWSC in 2020.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h5c/h8f/12291762880542.png"
15,Dalmore 12 Year,Dalmore, $64.99 ,750ml,40.0%,Whiskey/Whisky,Scotch,Single Malt, Scotland ,Highland,"Rich, Spice, Maple, Long","Highlands, Scotland- With its intricate aromas and flavors, it is recognized as a whisky with character far beyond its age. Aromas of citrus fruits, chocolate, and spices. Concentrated citrus flavors on the palate with notes of oloroso sherry and hints of vanilla pod. Finish of coffee.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h64/h92/14327626563614.png"
16,Laphroaig 10 Year,Laphroaig, $51.99 ,750ml,43.0%,Whiskey/Whisky,Scotch,Single Malt, Scotland ,Islay & Islands,"Rich, Peat, Malt, Long","Islay, Scotland- An all-malt Scotch whisky, malted barley is dried over a peat fire for a unique full, rich flavor. Aroma and flavors are of blue peat smoke, the sweet nuttiness of the barley, the delicate heathery perfume of Islay's streams.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hc4/h4f/12202508845086.png"
17,Lagavulin 16 Year,Lagavulin, $103.99 ,750ml,43.0%,Whiskey/Whisky,Scotch,Single Malt, Scotland ,Islay & Islands,"Intense, Smoke, Peat, Balanced","Islay, Scotland- One of the great classics from Islay. Remarkably balanced, with dry & assertive flavors offset by the sweetness of Sherry oak. Complex, full-bodied, smoky, peaty tastes combine with salty sea tang in this elegant yet powerful Single Malt. 2020 SIP Awards Platinum Winner","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hb9/h06/14757919588382.png"
18,Macallan 30 Year Double Cask Scotch,Macallan," $4,299.99 ",750ml,43.0%,Whiskey/Whisky,Scotch,Single Malt, Scotland ,Highland,"Medium, Cinnamon, Vanilla, Oak, Long","Scotland- The Macallan Double Cask 30yr has matured for 30yrs in a harmonious union of sherry seasoned American & European oak casks. On the palate there is a smooth melody of cinnamon, ginger, Madagascan vanilla, dried fruits & oak flavors, finishing with sweet oak, soft spice & toffee","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h92/h61/15372158042142.png"
19,Jameson Irish Whiskey,Jameson, $23.99 ,750ml,40.0%,Whiskey/Whisky,Irish Whiskey,, Ireland ,,"Delicate, Spice, Vanilla, Mild","Ireland- A pot still whiskey blended of light and medium flavored whiskies that were triple distilled for exceptional smoothness. Matured in Bourbon and Sherry casks to produce a crisp, clean, mellow taste with sweet, spicy, vanilla tones, and a subtle finish. Very smooth and versatile.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h73/h69/14361814433822.png"
20,Jameson Black Barrel,Jameson, $34.99 ,750ml,40.0%,Whiskey/Whisky,Irish Whiskey,, Ireland ,,,"Ireland- Matured in a combination of American oak, sherry casks, and double charred bourbon barrels, Jameson Black Barrel is a blend of small batch grain and traditional Irish pot still whiskeys. Bursting with rich, complex flavors of fruit, caramel, toasted wood, and warm spice.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h2d/hdf/16154942046238.png"
21,Tullamore Dew Irish Whiskey,Tullamore Dew, $22.99 ,750ml,40.0%,Whiskey/Whisky,Irish Whiskey,, Ireland ,,"Rich, Apple, Vanilla, Spice, Complex","Ireland- Tullamore D.E.W. is widely acclaimed by whiskey connoisseurs and has received numerous awards for its quality, including the much-prized Gold Award at the 2020 International Spirits Competition. Awarded Bronze at the San Francisco World Spirits Challenge 2021.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h9a/hf1/12291776544798.png"
22,Redbreast 12 Year Irish Whiskey,Redbreast, $64.99 ,750ml,40.0%,Whiskey/Whisky,Irish Whiskey,, Ireland ,,,"Ireland- Single Pot Still, triple distilled, matured in Bourbon and Sherry seasoned Spanish Oak casks. Spicy yet fruity nose. Harmonious taste of spice, fruit, and sherry. Long complex finish. Best Irish Whiskey at the 2019 International Whiskey Competition.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h4f/ha3/16130683764766.png"
23,Green Spot Irish Whiskey,Green Spot, $58.99 ,750ml,40.0%,Whiskey/Whisky,Irish Whiskey,, Ireland ,,,"Ireland - Amber with a deep floral character of elderflower and honeysuckle alluding to fruitier notes of ripe red plum and nectarine. Fresh fruit continues on the palate with exquisite biscuity flavors. Smooth, long finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/he8/h26/12244707213342.png"
