id,name,brand,price ,size,abv,type,style,market,country,state,city,taste,body,product_info,image_url
14,Shiner Light Blonde,Shiner,$15.99 ,12oz - Pack(12) cans,4.20%,Lager,American-Style Lager,Craft,United States,Texas,Shiner,"Crisp, Clean, Balanced",Light-bodied,"Texas- American-Style Lager- Pours a pale straw-yellow color. A light, clean aroma of sweet malts, grains, hay & grass. Taste is soft & smooth with sweet malts, grass, light adjunct grains & very little hops. A crisp, refreshing beer!","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h80/hba/14174310760478.png"
15,Deep Ellum Dallas Blonde,Deep Ellum,$8.99 ,12oz - Pack(6) cans,5.20%,Ale,"Blonde Ale, American Blonde Ale",Craft,United States,Texas,Dallas,"Balanced, Grainy, Citrusy",Light-bodied,"Texas- American Blonde Ale- Pours an orange color with a white head. Aroma is of biscuit malt and a hint of grass, with a subtle hint of orange citrus. On the tongue, toffee, earthy character and biscuit malt notes are apparent with every sip.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h2d/hbb/15949507100702.png"
16,Deep Ellum Dallas Blonde,Deep Ellum,$14.99 ,12oz - Pack(12) cans,5.20%,Ale,"Blonde Ale, American Blonde Ale",Craft,United States,Texas,Dallas,"Balanced, Grainy, Citrusy",Light-bodied,"Texas- American Blonde Ale- Pours an orange color with a white head. Aroma is of biscuit malt and a hint of grass, with a subtle hint of orange citrus. On the tongue, toffee, earthy character and biscuit malt notes are apparent with every sip.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h3b/h8b/12267770413086.png"
17,Deep Ellum IPA,Deep Ellum,$8.99 ,12oz - Pack(6) cans,7.00%,Ale,"IPA (India Pale Ale), American IPA",Craft,United States,Texas,Dallas,"Hoppy, Citrusy, Piney, Spicy",Medium-bodied,"Texas- American India Pale Ale- 7.00% ABV. Pours an orangish-gold color with a large white head. Wafts of pine, resinous notes, light caramel malt and tropical fruit throughout the nose. Bits of caramel malt peaks on the tongue, but citrus fruit resides afterwards creating zestiness.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h2d/h2e/12267770445854.png"
18,Deep Ellum IPA,Deep Ellum,$14.99 ,12oz - Pack(12) cans,7.00%,Ale,"IPA (India Pale Ale), American IPA",Craft,United States,Texas,Dallas,"Hoppy, Citrusy, Piney, Spicy",Medium-bodied,"Texas- American India Pale Ale- 7.00% ABV. Pours an orangish-gold color with a large white head. Wafts of pine, resinous notes, light caramel malt and tropical fruit throughout the nose. Bits of caramel malt peaks on the tongue, but citrus fruit resides afterwards creating zestiness.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h89/h63/12267770576926.png"
19,Manhattan Project Half Life NE IPA,Manhattan Project,$10.99 ,12oz - Pack(6) cans,6.20%,Ale,"IPA (India Pale Ale), American IPA",Craft,United States,Texas,Dallas,,,Texas- American IPA- 6.2% ABV. Half-Life is always a crowd favorite for both craft beer fans and newcomers to the beer scene. Unfiltered NE inspired IPA that is interesting without being overpowering.,"https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hd3/h3c/13777101946910.png"
20,Manhattan Project Necessary Evil,Manhattan Project,$10.99 ,12oz - Pack(6) cans,5.30%,Lager,Light Lager,Craft,United States,Texas,Dallas,,,"Texas- German Pilsner- 5.3% ABV. Our Pilsner is dry, crisp, and has a hint of hop character. The floral aspects of the hops, not the bitter. You will also pick up on herbal qualities. Like all Pilsners, ours is light in body and color.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h59/h43/14044489187358.png"
21,Manhattan Project Hoppenheimer West Coast IPA,Manhattan Project,$10.99 ,12oz - Pack(6) cans,7.00%,Ale,"IPA (India Pale Ale), American IPA",Craft,United States,Texas,Dallas,,,"Texas- American IPA- 7.0% ABV. Perfectly balanced West Coast American IPA with dank hop aroma. You will detect pine, resin, and divine citrus. We hope you enjoy our India Pale Ale.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h28/h1a/14027936989214.png"
22,Altstadt Hefeweizen,Altstadt,$9.49 ,12oz - Pack(6) cans,5.10%,Ale,"Wheat Ale, Hefeweizen",Craft,United States,Texas,Frederickburg,,,"Texas- Hefeweizen- 5.1% ABV. Brewed using open fermentation which gives our unfiltered beer flavors of clove and banana with a hazy, golden appearance. The low hop style lets the yeast and wheat malt shine.",https://static.specsonline.com/wp-content/uploads/2020/10/085361300753.jpg
23,Altstadt Amber,Altstadt,$9.49 ,12oz - Pack(6) cans,4.80%,Ale,"Amber/Red Ale, Altbier",Craft,United States,Texas,Frederickburg,,,"Texas - Altbier - 4.8% ABV. Rich, malty, brewed with Pilsner, Munich & Crystal malts that create an amber color. Using Altbier yeast from Germany, our Amber provides toffee notes on the nose and finishes smooth.",https://static.specsonline.com/wp-content/uploads/2020/10/085361300747.jpg
